indice;maior_atraso ;margem_bruta_acumulada;prazo_medio_recebimento_vendas;titulos_em_aberto;diferenca_percentual_risco;percentualRisco;faturamento_bruto;margem_bruta;periodo_demonstrativo_em_meses;custos;ano_fundacao;capital_social;score_pontualidade;risco_baixo;risco_medio;risco_muito_baixo;grupo
2589;35;5.845.285.889;0;164500.0;6.428.571.428.571.420;3.571.428.571.428.570;33454007;11746478;12;21707529;2001;250000;1;0;1;0;1
2590;3;2.957.828.157;33;7349.67;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
2591;2;4.411.398.547;0;0.0;8.571.428.571.428.570;1.428.571.428.571.420;16480097;7820231;12;8659866;1997;620000;1;1;0;0;2
2592;7;42.971.461.200.000.000;0;0.0;8.214.285.714.285.710;1.785.714.285.714.280;954865;381283;12;573582;1996;100000;1;1;0;0;2
2593;9;4.187.989.043;0;0.0;6.428.571.428.571.420;3.571.428.571.428.570;0;0;1;0;2016;95400;1;0;1;0;1
2594;8;4.191.883.717;0;3293.34;8.571.428.571.428.570;1.428.571.428.571.420;6032091;0;12;0;2003;10000;1;1;0;0;2
2595;21;4.259.094.783;38;18360.0;875;125;25513851;8990612;12;16523239;1984;500000;0;1;0;0;2
2596;26;46.891.799.170.000.000;19;340109.96;5.357.142.857.142.850;4.642.857.142.857.140;0;0;1;0;2015;80000;1;0;1;0;1
2597;17;37.059.627.149.999.900;0;73553.68;8.392.857.142.857.140;1.607.142.857.142.850;20380171;10795346;12;9584825;1986;1600000;0;1;0;0;2
2598;4;28.139.486.620.000.000;51;54801.51;9.642.857.142.857.140;357.142.857.142.857;21236098;6275836;12;14960262;1992;1000000;1;0;0;1;0
2599;5;3.213.507.788;47;31906.0;8.928.571.428.571.420;1.071.428.571.428.570;24497661;0;12;0;2012;250000;1;0;0;1;0
2600;5;4.464.438.548;0;0.0;6.071.428.571.428.570;3.928.571.428.571.420;273881;0;12;0;2013;100000;1;0;1;0;1
